"","dia_ocu","mes_ocu","año_ocu","dia_sem_ocu","hora_ocu","depto_ocu","tipo_veh","color_veh","causa_acc","num_hecho","zona_ocu","modelo_veh","marca_veh","mupio_ocu","g_hora","g_modelo_veh","g_hora_5","areag_ocu","sexo_pil","edad_pil","mayor_menor","estado_pil","corre_base","edad_quinquenales","g_edad"
"6798",5,4,2014,6,20,5,99,99,5,3920,99,9999,99,505,4,6,NA,2,1,999,9,9,545,NA,16
"6799",5,4,2014,6,20,6,3,9,1,743,99,1990,44,603,4,3,NA,2,1,26,1,1,743,NA,4
"6800",5,4,2014,6,20,11,1,4,1,747,99,9999,32,1101,4,6,NA,2,1,28,1,1,747,NA,4
"6801",5,4,2014,6,20,21,2,4,2,739,99,9999,44,2101,4,6,NA,2,1,46,1,1,739,NA,8
"6802",5,4,2014,6,22,5,4,1,2,741,99,9999,21,509,4,6,NA,2,1,37,1,1,741,NA,6
"6803",5,4,2014,6,22,5,4,5,2,740,1,2014,2,501,4,5,NA,1,1,20,1,1,740,NA,3
"6804",5,4,2014,6,23,1,9,4,1,735,1,2000,20,101,4,4,NA,1,2,46,1,1,735,NA,8
"6805",5,4,2014,6,23,1,14,1,1,736,24,9999,2,101,4,6,NA,1,1,27,1,1,736,NA,4
"6806",5,4,2015,7,0,5,3,9,1,1088,99,2006,99,509,1,4,1,2,1,999,9,1,NA,18,16
"6807",5,4,2015,7,1,12,14,1,4,1095,99,9999,99,1226,1,6,1,2,1,999,9,1,NA,18,16
"6808",5,4,2015,7,2,1,1,99,1,1084,99,9999,37,117,1,6,1,2,2,37,1,1,NA,8,6
"6809",5,4,2015,7,7,1,4,1,5,4938,17,2012,99,101,2,5,1,1,1,46,1,1,NA,10,8
"6810",5,4,2015,7,9,1,4,1,3,1083,7,9999,44,101,2,6,1,1,1,43,1,1,NA,9,7
"6811",5,4,2015,7,11,9,4,5,5,4940,99,2007,42,914,2,4,1,2,1,18,1,1,NA,4,2
"6812",5,4,2015,7,11,16,2,4,3,1096,99,2000,42,1605,2,4,1,2,1,42,1,1,NA,9,7
"6813",5,4,2015,7,12,18,1,1,1,1100,99,9999,44,1804,3,6,2,2,1,23,1,1,NA,5,3
"6814",5,4,2015,7,14,14,4,5,1,1103,3,2005,42,1401,3,4,2,1,1,18,1,1,NA,4,2
